source,id,title,authors,year,doi,url,venue,abstract,match_mv_abs,match_wean_abs,match_rl_abs,decision
openalex,https://openalex.org/W2937671098,Inverse reinforcement learning for intelligent mechanical ventilation and sedative dosing in intensive care units,Chao Yu; Jiming Liu; Hóngyi Zhào,2019,10.1186/s12911-019-0763-6,https://doi.org/10.1186/s12911-019-0763-6,,"... inverse RL ... decisions on weaning of mechanical ventilation ...",True,True,True,rescue
openalex,https://openalex.org/W2946845352,Defining Admissible Rewards for High Confidence Policy Evaluation,Niranjani Prasad; Barbara E. Engelhardt; Finale Doshi‐Velez,2019,10.48550/arxiv.1905.13167,https://doi.org/10.48550/arxiv.1905.13167,,"... reinforcement learning ... learn a policy for weaning patients from mechanical ventilation.",True,True,True,rescue
openalex,https://openalex.org/W4396578875,Using the Past to Inform the Future: How a Classic Respiratory Physiology Equation Informs Computer-Based Simulators and Clinical Decision Support Systems*,Alon Geva; Dennis Daniel; Alireza Akhondi‐Asl,2024,10.1097/pcc.0000000000003484,https://doi.org/10.1097/pcc.0000000000003484,,"Managing mechanical ventilation ... computerized CDS ... reinforcement learning ... larger ventilator weans ...",True,True,True,rescue
openalex,https://openalex.org/W2193923384,Closed-loop control of anesthesia and mean arterial pressure using reinforcement learning,Regina Padmanabhan; Nader Meskin; Wassim M. Haddad,2015,10.1016/j.bspc.2015.05.013,https://doi.org/10.1016/j.bspc.2015.05.013,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W3012292446,Defining admissible rewards for high-confidence policy evaluation in batch reinforcement learning,Niranjani Prasad; Barbara E. Engelhardt; Finale Doshi‐Velez,2020,10.1145/3368555.3384450,https://doi.org/10.1145/3368555.3384450,,"... reinforcement learning ... learn a policy for weaning patients from mechanical ventilation.",True,True,True,rescue
openalex,https://openalex.org/W4408846078,Improving Patient-ventilator Synchrony during Pressure Support Ventilation based on Reinforcement Learning Algorithm,Liming Hao; Xiaohan Wang; Shuai Ren; Yan Shi; Maolin Cai; Tao Wang; Zujin Luo,2025,10.1109/jbhi.2025.3551670,https://doi.org/10.1109/jbhi.2025.3551670,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W4411516597,Advances in Machine Learning for Mechanically Ventilated Patients,Xu Yue; Jingjing Xue; Yunfeng Deng; Lili Tu; Yulong Ding; Yibing Zhang; Xinrui Yuan; Kexin Xu; Liangmei Guo; Na Gao,2025,10.2147/ijgm.s515170,https://doi.org/10.2147/ijgm.s515170,,"... mechanically ventilated patients ... dynamically adjusting ventilator parameters using reinforcement learning ...",True,True,True,rescue
openalex,https://openalex.org/W4200573108,Is artificial intelligence ready to solve mechanical ventilation? Computer says blow,Dominic C. Marshall; Matthieu Komorowski,2021,10.1016/j.bja.2021.10.050,https://doi.org/10.1016/j.bja.2021.10.050,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W3129685015,Mechanical ventilation strategy for pulmonary rehabilitation based on patient-ventilator interaction,Liming Hao; Xiao Li; Yan Shi; Maolin Cai; Shuai Ren; Fei Xie; YaNa Li; Na Wang; Yixuan Wang; Zujin Luo; Meng Xu,2021,10.1007/s11431-020-1778-8,https://doi.org/10.1007/s11431-020-1778-8,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W4220804996,ERS International Congress 2021: highlights from the Respiratory Intensive Care Assembly,Aileen Kharat; Carla Ribeiro; Berrin Er; Christoph Fisser; Daniel López‐Padilla; Foteini Chatzivasiloglou; Leo Heunks; Maxime Patout; Rebecca D’Cruz,2022,10.1183/23120541.00016-2022,https://doi.org/10.1183/23120541.00016-2022,,"... noninvasive ventilation ... mechanical ventilation and weaning ...",True,True,False,rescue
